,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
80,xander.,Sorry But Not Sorry,Sorry But Not Sorry,13xHMYN3RXi8tiOlpPw2vq,0.784,0.326,6,-14.312,0,0.314,0.835,0.159,0.553,80.054,156000,4
81,Moka Only,Martian XMAS 2021,Fallin...,2FINs312vFapeblMwVGVGo,0.694,0.55,1,-8.546,1,0.232,0.487,0.142,0.485,92.009,110780,4
82,LESKY,Night Exchange,Riding Bikes,3PEeUjZVM6X1LPG5hvKbQw,0.381,0.377,1,-13.915,1,0.164,0.754,0.121,0.251,79.44,127500,4
83,Palmasur,Invierno Solitario,Invierno Solitario,21sV7KSahkzxD9R9o3Cz5y,0.554,0.278,8,-13.114,0,0.0372,0.908,0.108,0.44,77.004,144935,4
84,Deep Wave,Lo-Fi Lounge Beats,Musica,5SKfDfuQkWm0nPYyCXWFyA,0.489,0.463,6,-10.139,0,0.1,0.904,0.618,0.7,82.081,97229,4
85,Ruth de las Plantas,Monstera,Monstera,0bXTepxB0Op1hLb3u5Ph10,0.626,0.627,1,-7.601,0,0.0344,0.807,0.252,0.669,122.068,118945,4
86,9ICK,Nyhavn by Day,Nyhavn by Day,0HNV1CfWjc4auIrGhoirzZ,0.604,0.565,10,-7.598,0,0.0552,0.0367,0.187,0.437,89.044,118652,4
87,Poetics,epona,epona,499cXRvJU5fiOKpOAXJBDU,0.462,0.141,10,-19.385,0,0.0506,0.826,0.22,0.603,153.435,99744,4
88,lofi geek,Sentaku Shitsu (Japanese Lofi),Sentaku Shitsu - Japanese Lofi,0E7v3PNerWsOopv3SusWtZ,0.598,0.262,0,-16.143,1,0.0536,0.471,0.0889,0.167,140.03,193250,4
89,Chancla,Profesor,Profesor,70A2dr0LJoFAmplOmYqdkn,0.831,0.423,10,-5.961,0,0.0616,0.933,0.0703,0.853,82.018,168705,4
90,Emapea,I Like That,I Like That,66g2qfKKlTiZjkGcc0F4kp,0.689,0.398,2,-4.743,0,0.124,0.892,0.116,0.724,172.109,192000,4
91,Glimlip,Undertones,Deep Pockets,0ULvM3cN1ueTD2YP9cx47L,0.707,0.561,1,-13.775,1,0.134,0.911,0.281,0.149,82.051,130884,4
92,Konteks,Rendezvous,Underground,7lL3BDrOSvXep6OhMhTC85,0.577,0.264,3,-12.642,0,0.0384,0.86,0.204,0.594,84.997,152824,4
93,Herring Franky,Jazzbstract Flava,Vibe Shaker,5LhUHnMCmXKJnl4aPlCh0f,0.836,0.217,7,-15.198,1,0.598,0.107,0.173,0.728,87.948,109091,4
94,Hicut Lopass,holy heights,holy heights,41sAigko8vMq92aIDWb52k,0.744,0.214,1,-15.693,1,0.221,0.9,0.0903,0.453,82.98,120542,4
95,Tokoyo,Sunday Afternoons,Sunday Afternoons,6ZXTDAfPfSOjjMxjAoVlZC,0.919,0.28,10,-12.364,0,0.183,0.724,0.126,0.626,90.015,107167,4
96,Bluewerks,Bluewerks Vol. 6: Open The Window,Laguna,16kdntLVpPWh3L1r13Ik7D,0.785,0.434,5,-9.932,0,0.0462,0.834,0.0738,0.38,112.521,129600,3
97,YetBaby,Faith,Faith,0zErESQdCLKMCGfhVImwR8,0.811,0.888,6,-6.394,0,0.0494,0.0173,0.156,0.65,120.004,136620,4
98,Maadrhino,Thoughts,Thoughts,37jJKReN82M4OTUKfydz3Z,0.745,0.21,4,-16.404,0,0.239,0.907,0.172,0.129,79.947,114000,4
99,J. Lorenzo,rain on leaf,rain on leaf,7M5FcAfLlFBb22EysPkX7w,0.752,0.259,2,-11.954,0,0.0415,0.691,0.108,0.118,138.121,126000,3
