,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
82,Cloudymane,NEED FOR SPEED,NEED FOR SPEED,2WzfpAMewrwGtcZdCx3QE7,0.578,0.81,0,-9.478,1,0.0395,0.448,0.121,0.496,173.992,143448,4
83,BADTRIP MUSIC,DRUG ADDICTED,DRUG ADDICTED,1dQnjTYZSJTi13tYSej31Q,0.853,0.785,9,-4.761,1,0.0736,0.168,0.252,0.197,100.033,199200,4
84,SHADXWBXRN,WARLOCK,WARLOCK,49jvy8buA2J6XGi0oPNaJy,0.747,0.797,7,-5.161,1,0.0638,0.729,0.104,0.831,124.007,139355,4
85,Tokyomane,Japan,Japan,39QSBh0Oz2OsnjAtjCQ3JH,0.779,0.911,0,-4.045,1,0.0656,0.867,0.158,0.47,102.009,103529,4
86,Phonk Killer,FACE TO FACE,FACE TO FACE,0szBpH6rzuCuBOOLTGOx5v,0.753,0.901,8,-2.432,1,0.0745,0.427,0.172,0.332,80.017,114004,4
87,glexks,HELLISH RAGE,HELLISH RAGE,09xLjMF291PyCA5yCV3H5b,0.742,0.889,1,-4.491,1,0.0369,0.0811,0.063,0.219,126.994,151186,4
88,Phonk Killer,YOU'RE NEXT,BLOW,2XsRY63YBtkdflTFIMlhwX,0.704,0.95,8,-1.405,0,0.0345,0.828,0.0646,0.257,119.995,124505,4
89,BLXCKBUSTA,FULL SEND,FULL SEND,7LZ5kABpaC3XiXQEOlJ6LA,0.523,0.983,2,-2.687,1,0.0432,0.839,0.388,0.516,164.976,114909,4
90,Bad Smith,WHAT THE FUCK U GONNA DO?,WHAT THE FUCK U GONNA DO?,7g0E3ydb9GVNq5ibxsAL17,0.524,0.88,2,-3.824,1,0.0735,0.00114,0.166,0.152,184.967,168878,4
91,Tokyomane,Mall,Mall,4o0WEDK3M3XOY7A8bRKQhi,0.832,0.823,6,-1.669,1,0.0564,0.00646,0.111,0.239,97.982,93061,4
92,Bad Smith,Homicide,Fuck Your Mind,2fxTylxOAfxV0R2YVNWWy7,0.628,0.828,2,-3.968,1,0.0972,0.846,0.0987,0.605,170.016,138353,4
93,MUPP,Demonic Schizophrenic Hell Dweller,Misery,4RHxZdoIhL2IXabz5Xte7F,0.78,0.93,1,-4.005,1,0.0551,0.0891,0.0944,0.373,172.945,110983,4
94,Freddie Dredd,GTG,GTG,46M2hXnaQpueG7vSvgVtVH,0.88,0.777,7,-6.875,0,0.125,0.0171,0.0957,0.974,154.955,93894,4
95,OGNEYAR,Devotion,Devotion,3pjF0yaD3us8IHwBfy6Liu,0.687,0.788,1,-4.396,1,0.163,0.845,0.0802,0.278,90.989,126614,4
96,Save Haku,Insomnia,Insomnia,2Vp6rFLNuJp8ZOFPbuuGC5,0.691,0.816,11,-4.898,0,0.0388,0.908,0.0737,0.724,140.008,147665,4
97,Sxmpra,I Got Banned from Heaven,I Got Banned from Heaven,49d7gvMPtJEp70l9FdN0Jh,0.747,0.806,11,-9.228,0,0.0646,0.632,0.0691,0.642,155.015,174984,4
98,wex,WALK,WALK,4vrWGJqlDNqQqmdODbYRG9,0.825,0.868,1,-1.28,1,0.0762,0.141,0.0993,0.312,160.01,172814,4
99,PlayaPhonk,Keraunos,Keraunos,5ZKyj00XSlmEoKnDGH4JZa,0.838,0.59,7,-4.305,1,0.233,0.874,0.105,0.495,150.02,144980,4
